NodeId,BrowseName,DisplayName,FullPath,NodeClass,DataType,Value,ParentId,Depth,NamespaceIndex,IsNamespaceNode,Timestamp
ns=2;s=Studio.Tags.Application.Cabins[1].Devices_Fault,Devices_Fault,Devices_Fault,Root/Objects/Studio/Tags/Application/Cabins/[1]/Devices_Fault,Variable,Int32,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.766912
ns=2;s=Studio.Tags.Application.Cabins[1].Devices_OutOfCom,Devices_OutOfCom,Devices_OutOfCom,Root/Objects/Studio/Tags/Application/Cabins/[1]/Devices_OutOfCom,Variable,Int32,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.769877
ns=2;s=Studio.Tags.Application.Cabins[1].Devices_Warning,Devices_Warning,Devices_Warning,Root/Objects/Studio/Tags/Application/Cabins/[1]/Devices_Warning,Variable,Int32,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.774875
ns=2;s=Studio.Tags.Application.Cabins[1].EAct,EAct,EAct,Root/Objects/Studio/Tags/Application/Cabins/[1]/EAct,Variable,Double,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.779875
ns=2;s=Studio.Tags.Application.Cabins[1].Name,Name,Name,Root/Objects/Studio/Tags/Application/Cabins/[1]/Name,Variable,String,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.782873
ns=2;s=Studio.Tags.Application.Cabins[1].P,P,P,Root/Objects/Studio/Tags/Application/Cabins/[1]/P,Variable,Double,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.786879
ns=2;s=Studio.Tags.Application.Cabins[1].PNom,PNom,PNom,Root/Objects/Studio/Tags/Application/Cabins/[1]/PNom,Variable,Double,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.790878
ns=2;s=Studio.Tags.Application.Cabins[1].PowerPlant_Name,PowerPlant_Name,PowerPlant_Name,Root/Objects/Studio/Tags/Application/Cabins/[1]/PowerPlant_Name,Variable,String,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.793878
ns=2;s=Studio.Tags.Application.Cabins[1].Q,Q,Q,Root/Objects/Studio/Tags/Application/Cabins/[1]/Q,Variable,Double,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.797882
ns=2;s=Studio.Tags.Application.Cabins[1].SunIrr,SunIrr,SunIrr,Root/Objects/Studio/Tags/Application/Cabins/[1]/SunIrr,Variable,Double,,ns=2;s=Studio.Tags.Application.Cabins[1],7,2,False,2025-11-04T15:23:13.801432
